name,first_name,last_name,short_name,position,jersey_number,height,team_id,shirt_number,substitute,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,duel_lost,challenge_lost,ball_recovery,good_high_claim,saved_shots_from_inside_the_box,penalty_faced,saves,minutes_played,touches,rating,possession_lost_ctrl,expected_assists,keeper_save_value,total_shots,goals_prevented,pass_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,total_cross,aerial_lost,aerial_won,duel_won,total_contest,outfielder_block,interception_won,total_tackle,won_tackle,unsuccessful_touch,penalty_conceded,was_fouled,fouls,top_speed,kilometers_covered,number_of_sprints,total_ball_carries_distance,ball_carries_count,total_progression,best_ball_carry_progression,total_progressive_ball_carries_distance,progressive_ball_carries_count,dribble_value_normalized,meters_covered_running_km,meters_covered_high_speed_running_km,meters_covered_sprinting_km,dispossessed,total_clearance,won_contest,clearance_off_line,last_man_tackle,blocked_scoring_attempt,expected_goals,key_pass,shot_value_normalized,big_chance_created,shot_off_target,big_chance_missed,on_target_scoring_attempt,expected_goals_on_target,goals,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,penalty_won,accurate_cross,error_lead_to_ashot,team_name,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Djed Spence,,,D. Spence,D,24.0,184,4713,25,False,37.0,32.0,2.0,1.0,0.0,16.0,18.0,16.0,19.0,5.0,,3.0,,,,,90.0,60.0,6.9,9.0,0.0108482,,0,,0.08,-0.26,,,,,10.0,4.0,,1.0,5.0,3.0,1.0,,2.0,2.0,34.45,9.68,22.0,225.18900871601,15.0,102.6061809989,34.141141911009,110.0311110728,4.0,0.1,1.32,0.48,0.33,2.0,3.0,3.0,,1.0,,,,,,,,,,,,,,1.0,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Declan Rice,Declan,Rice,D. Rice,M,41.0,188,4713,4,False,91.0,87.0,3.0,2.0,1.0,62.0,63.0,25.0,28.0,2.0,1.0,8.0,,,,,90.0,112.0,9.6,7.0,0.199575,,1,,0.73,0.19,,5.0,,,7.0,,2.0,3.0,7.0,2.0,1.0,,,1.0,32.83,10.23,10.0,207.98039717587,27.0,28.477341216067,20.161530561416,31.633785873687,2.0,0.29,1.12,0.38,0.2,,,,,,,0.0447,2.0,0.51,,,,1.0,0.2935,1.0,,,,,3.0,,England,True,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Bukayo Saka,Bukayo,Saka,B. Saka,F,7.0,178,4713,7,False,23.0,18.0,2.0,1.0,0.0,8.0,10.0,10.0,13.0,5.0,,5.0,,,,,90.0,42.0,9.5,10.0,0.207253,,5,,-0.33,-0.16,,4.0,4.0,,6.0,1.0,,,3.0,1.0,1.0,,2.0,,34.62,10.48,20.0,209.60341984469,17.0,133.57251709134,24.828668949424,123.93999099729,6.0,0.48,1.73,0.79,0.35,1.0,,1.0,,,1.0,1.4944,3.0,1.0,1.0,,1.0,4.0,2.2047,3.0,1.0,,,,1.0,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Morgan Rogers,,,M. Rogers,M,27.0,187,4713,17,False,42.0,38.0,3.0,3.0,0.0,23.0,24.0,15.0,18.0,4.0,2.0,6.0,,,,,90.0,52.0,6.5,7.0,0.0597965,,1,,0.12,-0.42,,,,,5.0,3.0,,,1.0,,,,2.0,,32.67,11.15,7.0,171.47883952315,22.0,70.688913430187,13.195773236049,13.337799256249,1.0,0.12,1.71,0.63,0.16,1.0,,2.0,,,1.0,0.0676,3.0,0.02,,,,,,,,,,,,1.0,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Eberechi Eze,Eberechi,Eze,E. Eze,M,10.0,178,4713,21,False,56.0,56.0,,,1.0,33.0,33.0,23.0,23.0,1.0,,2.0,,,,,79.0,69.0,7.5,4.0,0.834439,,3,,0.58,-0.1,,,,,4.0,3.0,,,,,2.0,,1.0,1.0,32.33,8.84,9.0,138.48465829734,19.0,24.933774770681,11.367245932639,22.178072504165,1.0,0.25,1.64,0.36,0.14,,1.0,3.0,,,2.0,0.0785,2.0,-0.23,,1.0,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Marcus Rashford,Marcus,Rashford,M. Rashford,F,10.0,188,4713,11,False,20.0,18.0,1.0,,1.0,8.0,8.0,10.0,12.0,2.0,,1.0,,,,,45.0,34.0,6.9,7.0,0.065305,,3,,0.25,0.13,,2.0,,,2.0,3.0,,,,,,,,,33.99,5.9,16.0,97.95297129039,10.0,75.028859761091,25.409827468375,57.66448812068,3.0,0.35,0.86,0.34,0.34,1.0,,2.0,,,1.0,0.5092,3.0,-0.54,3.0,,1.0,2.0,0.3096,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Ivan Toney,Ivan,Toney,I. Toney,F,17.0,185,4713,22,False,18.0,14.0,2.0,1.0,0.0,8.0,9.0,6.0,9.0,4.0,,2.0,,,,,79.0,34.0,6.9,7.0,0.00255655,,2,,-0.25,0.18,,,2.0,1.0,6.0,,,,2.0,,1.0,,3.0,,27.72,8.52,8.0,59.381191659927,11.0,7.8565004635427,,,0.0,0.17,1.37,0.4,0.09,2.0,1.0,,,,1.0,0.1122,,0.09,,,1.0,1.0,0.4185,,2.0,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Ollie Watkins,Ollie,Watkins,O. Watkins,F,11.0,179,4713,19,True,11.0,9.0,,,0.0,4.0,4.0,5.0,7.0,6.0,,,,,,,45.0,23.0,6.7,7.0,0.35992,,1,,-0.34,0.29,,1.0,2.0,2.0,6.0,3.0,,,2.0,2.0,1.0,,,1.0,34.69,4.9,11.0,65.486058443614,6.0,55.395644556359,20.290530251649,40.960718345866,2.0,0.26,0.69,0.36,0.31,2.0,,2.0,,,,0.0483,2.0,-0.34,1.0,1.0,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Elliot Anderson,,,E. Anderson,M,8.0,179,4713,8,True,11.0,11.0,,,0.0,8.0,8.0,3.0,3.0,1.0,,1.0,,,,,11.0,14.0,6.5,1.0,0.00053756,,0,,0.02,-0.02,,,,,1.0,,,,1.0,1.0,,,,,27.95,1.88,4.0,27.133396471152,5.0,-11.38314645605,,,0.0,-0.14,0.26,0.13,0.04,1.0,,,,,,,,,,,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Jude Bellingham,,,J. Bellingham,M,5.0,188,4713,10,True,9.0,6.0,1.0,1.0,0.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,,,,,11.0,20.0,8.2,5.0,0.00214113,,2,,0.01,-0.11,,,,,6.0,5.0,,,,,1.0,,1.0,,32.96,1.91,4.0,53.811906832947,6.0,24.046765773366,7.3585492815038,7.4874350748437,1.0,0.53,0.35,0.15,0.06,1.0,,5.0,,,,0.437,,0.53,,,1.0,2.0,1.0672,1.0,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Reece James,Reece,James,R. James,D,24.0,180,4713,24,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,,,,,,,16.0,8.0,6.5,1.0,0.00025051,,0,,-0.01,-0.07,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,26.29,1.35,2.0,3.8115384033222,1.0,-1.2910646587393,,,0.0,0.05,0.17,0.12,0.03,,1.0,1.0,,,,,,,,,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Trevoh Chalobah,Trevoh,Chalobah,T. Chalobah,D,23.0,190,4713,12,True,,,,,0.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,0,,,,,,,,,,,,,,,,,,24.11,0.38,0.0,,,,,,,,0.03,0.02,0.0,,1.0,,,,,,,,,,,,,,,,,,,,England,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
